ID	 sex	CentSize	SF	IF	SP	IP	T	O	LOS	PCS	CS	SyF	STS	POS	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
66	2	403.9643542	30.90682157	23.12047556	14.77935176	22.69621177	29.99386575	10.63001643	6.206539081	6.171600892	20.67122145	18.15870801	28.25493298	16.41434637	-0.00625	-0.04476	0.00198	0.02108	0.01344	-0.01559	-0.00136	0.01232	0.00427	0.01331
67	1	391.8930694	30.27389586	23.15202895	14.70137329	22.55702501	31.10478852	11.9392763	5.417419466	7.595339616	19.71246563	21.60568609	31.09704253	18.02369424	-0.01367	0.05542	-0.02374	0.00407	-0.00377	0.00607	0.01664	0.00715	0.01952	0.00161
68	1	405.752458	31.20841515	23.33498885	13.82911196	23.12101893	31.49958788	11.50260868	7.449285327	6.023868552	19.28144395	18.67962719	30.28744036	18.81142885	0.006	0.00706	-0.00191	-0.02575	-0.00891	0.0024	-0.01519	-0.0127	0.01033	-0.00848
69	1	417.9063289	28.82158594	20.39096309	18.19376883	25.79603681	30.12405605	9.930318564	6.349616137	7.764354624	20.36243187	20.58195936	30.40843128	17.54957858	0.05773	0.01698	0.02207	0.0159	-0.01292	0.03897	-0.0138	-0.01872	-0.01226	0.0168
70	2	392.9170471	32.7131935	22.92606675	14.01580515	24.878788	31.77628512	10.18751111	6.828950682	6.981307097	19.8357374	18.93466098	31.40931255	17.48245206	0.02782	-0.015	0.00937	-0.00024	0.02265	0.01472	-0.02878	0.00803	-0.00978	-0.00391
71	2	395.3176463	30.25942339	22.10909509	17.45862608	23.5053592	30.63881947	8.702410786	6.066832644	7.772976776	19.56601743	20.14639011	31.41691975	16.55504754	-0.00366	0.00482	0.00543	0.02242	0.02519	-0.00249	-0.00479	0.00337	0.0051	0.03104
72	2	416.5469551	30.63475464	23.81949416	16.79410588	22.50973123	29.94402185	7.427300372	6.266387902	4.930839665	20.25599231	19.00103395	29.41390598	16.17784834	-0.01164	0.01418	-0.0161	-0.01307	-0.01034	0.00186	-0.025	-0.00531	0.00008	0.03499
73	1	414.0861844	31.15886781	22.67610076	15.63947104	22.27698774	29.93173098	9.218182159	7.38197942	7.215793024	20.42245949	19.2913742	30.11360779	17.7104447	-0.02685	-0.00352	-0.02793	-0.00556	-0.0102	-0.02566	-0.00999	-0.00858	-0.01792	0.02506
74	1	411.1673755	31.97163305	24.51721934	13.06054745	24.30538454	32.4521466	10.83868681	6.958520675	8.079346057	19.29468966	20.39973003	31.46576179	17.71016048	0.02953	0.00986	0.00215	0.00723	0.02888	0.00401	-0.01539	0.02628	-0.00325	-0.00155
75	2	395.9434166	29.93580619	23.54582534	16.68187889	22.49725822	30.87076289	9.835045232	6.005906984	6.652976756	19.94883509	20.43416499	31.55308359	16.6160569	0.0482	-0.00056	-0.00865	0.00666	0.0087	-0.01404	0.00645	0.00342	0.0004	0.01008
76	1	390.3634078	29.74946932	21.72382907	14.3671713	24.36888896	30.86653468	12.29385416	7.429585212	8.787172339	20.31299679	19.75690519	30.27968611	18.97096728	0.00894	0.00794	0.0067	0.00136	-0.01999	-0.00749	0.01395	-0.02106	0.02413	-0.00786
77	1	430.4038393	30.50904455	22.38821712	15.12075537	24.29957139	30.24786999	10.44546226	5.0752816	6.874475535	19.90939442	19.57962084	28.35158096	17.97820925	-0.02512	-0.01628	0.01222	-0.00496	-0.00104	-0.00701	0.0017	-0.00718	-0.02149	0.0068
78	1	390.6527291	32.00273925	23.32473391	14.31319082	22.28980531	30.74150075	8.866376781	9.385755018	8.790742984	18.97271828	21.19086341	31.4781847	16.04586602	-0.02082	0.02054	-0.02121	-0.00159	0.02411	-0.01566	-0.02283	-0.01328	-0.00452	-0.02317
79	2	390.5626113	31.67415118	22.9817638	13.41508726	22.85026092	32.35880275	10.84941085	6.036768965	7.536433218	19.47275694	17.65884254	31.94043906	19.11997237	-0.01736	0.00399	-0.01085	-0.01321	0.01921	0.01707	-0.01233	-0.014	0.05108	0.00248
80	1	434.6896358	30.11819465	23.06393284	14.40063836	22.09293055	30.84944153	8.910267734	5.849357967	6.039574703	19.48324551	19.3319671	30.43440505	15.60337122	0.03928	-0.01335	-0.01569	-0.03363	0.01912	-0.00604	-0.01488	0.00878	-0.00621	0.02686
81	2	400.2659389	30.31996589	23.42286761	15.17738119	22.53877413	30.69759864	9.850046063	6.984841931	7.03935439	20.5818211	19.01535979	27.97917188	18.03961559	-0.0371	-0.04333	-0.01057	-0.01168	0.01473	0.00808	-0.00824	-0.01734	-0.00386	-0.00509
82	2	387.0013004	29.15896031	22.00443585	16.23339408	24.32465979	30.95783066	11.39672976	6.767214499	7.112134133	20.2009828	19.37290071	31.0645261	17.38418043	0.00387	0.00453	0.00678	0.01887	-0.01688	0.00636	0.01657	0.00189	-0.00357	-0.00105
83	2	384.8239029	29.85283208	22.85034361	15.39630877	23.03774863	30.81482567	10.65510731	7.704032454	6.212981315	19.75913072	20.82791058	27.41815245	16.93597294	-0.03033	-0.01453	-0.01429	-0.02197	-0.00024	-0.01582	0.00644	0.01673	-0.01698	-0.01168
84	2	399.5977913	30.05790459	22.78724189	17.84805465	24.20096752	31.91045748	11.75276517	6.896613221	7.728475985	19.59145386	21.65017042	31.47856476	18.0429117	0.05687	0.04669	0.03181	0.01505	0.00534	0.00546	0.0148	0.00434	-0.00481	-0.0246
85	2	384.8054977	30.84169058	22.54014459	14.59585277	22.6955859	30.27801224	10.95747795	6.567254989	6.132822594	20.49407843	19.35383828	30.360893	16.88149697	-0.04249	-0.00092	-0.00359	-0.00668	0.00078	-0.02003	-0.02041	0.00495	-0.0008	-0.00652
86	2	406.3558365	31.09525881	22.32713827	15.33564887	23.60874443	31.80309019	10.08121103	6.39553145	5.885347104	20.50349329	18.79859191	30.60015952	16.73622926	0.02991	-0.03576	-0.00593	-0.00291	0.01272	-0.00748	0.01628	-0.00452	0.00753	0.00882
87	1	421.8046915	30.35105246	24.22301637	15.95600247	23.0377017	31.57181359	11.1889217	6.008391565	6.379441736	17.47537534	22.83205032	31.83549883	17.98102057	0.03758	0.04515	-0.00121	-0.00688	0.04967	0.01171	0.01196	-0.01649	-0.00552	-0.0081
88	2	385.102416	31.88373111	22.5355443	15.46183747	23.21367596	31.46014177	10.06600978	1.44861407	7.517125645	21.17731613	18.45561076	31.30084673	18.45835328	-0.02376	-0.02008	-0.0306	-0.0181	0.00421	0.03504	-0.01435	0.00261	-0.01431	0.00897
89	2	371.6970372	30.36137311	23.66354779	16.84901536	22.7019752	29.8961674	9.922317777	6.383285377	8.265119677	20.53096072	20.89164743	30.70117129	17.1027143	0.02167	0.02825	-0.00147	-0.00009	-0.03269	0.00027	-0.02862	-0.00564	0.02549	0.0018
90	2	384.7589078	29.86928005	23.63846128	15.89419885	21.56540895	29.73672136	9.192462405	6.256979688	6.424612392	19.9216875	19.60121758	30.59411602	17.57846277	-0.03404	-0.01103	-0.02561	0.01478	-0.01932	0.00122	-0.00535	-0.00312	-0.0098	-0.00322
91	2	396.838947	31.88716232	22.77901616	14.16183338	21.87698285	30.08908255	10.4114721	5.537506433	5.999078643	20.24399991	18.86797691	30.59308939	17.29169447	0.00939	0.00542	-0.02203	-0.00681	-0.01255	0.0121	-0.01679	0.00561	0.01884	0.00031
92	2	399.985669	31.4227158	23.83276147	17.77392069	23.44801421	30.4201083	9.92876235	6.685754852	7.242915125	19.732716	20.64583132	29.08956164	18.02196923	-0.03525	0.03732	-0.00663	0.00125	0.01558	0.00216	0.025	-0.02966	-0.02428	0.00115
93	1	400.1183066	32.17135918	23.40884329	14.23188706	22.90629723	31.68936024	9.886251221	5.678383278	7.979820716	19.84302364	20.57463002	28.51505403	17.69050899	-0.04416	-0.0049	-0.01252	0.00124	0.03454	-0.00113	-0.02251	0.00187	-0.00749	-0.02274
94	1	396.4849387	28.49287246	21.85242443	16.71409332	24.04048878	31.35906035	11.08881454	6.564039817	8.042832461	20.21190888	20.68719098	32.81822991	19.53993616	-0.00665	0.01692	0.02449	0.02074	-0.01511	0.01761	0.00137	0.00208	0.00287	-0.01476
95	2	389.5085864	31.10101003	22.82782691	13.98557157	23.66095676	31.87051525	12.42888994	7.807509604	6.962309581	20.17726957	17.63617471	30.57508567	18.24552235	-0.00604	-0.01803	-0.00331	-0.02878	-0.00904	0.00842	0.00306	0.0019	0.01668	-0.00894
96	2	397.6716076	29.79763287	23.57967204	16.47727946	22.63961896	31.24874787	10.56460731	5.430758722	6.166037173	18.66672449	18.51189044	31.33309297	17.37661722	0.00168	0.02536	-0.00967	0.00242	-0.00758	0.00305	0.0116	0.0115	0.0099	0.00505
97	1	410.4332238	32.07620568	23.34632112	14.61426284	22.68346622	30.68355156	11.46680165	7.45733892	6.879556084	20.28010206	21.13047288	30.03159173	19.66699358	-0.02233	0.01266	-0.02006	-0.00224	-0.00666	0.01027	-0.02115	-0.01704	-0.01559	-0.0219
98	2	391.9895772	30.21971737	22.89836741	15.70117455	22.06702555	29.54064109	11.06393368	7.789332115	7.387793266	20.89836367	19.4660258	29.46741302	17.85033539	0.01631	-0.01858	-0.01095	0.00287	-0.01627	-0.0054	0.01331	-0.01858	0.00157	-0.01529
99	2	385.8631458	31.92839313	23.75524824	16.07655129	22.75109675	30.05155859	9.920492172	7.317514132	6.828950976	19.89392954	20.58482807	29.26738953	17.04682039	-0.02176	0.01592	-0.02109	0.02414	-0.00296	-0.00871	0.00145	-0.00974	-0.00448	0.00094
